sku,title,variant,pack,price,currency,imageUrl,badge,featured
AZ-NITI-RD-12,Arco NITI Redondo,Calibre 12,Paquete con 10,0,MXN,https://cdn.tu-cdn/az-niti-12.jpg,,true
AZ-NITI-RD-14,Arco NITI Redondo,Calibre 14,Paquete con 10,0,MXN,https://cdn.tu-cdn/az-niti-14.jpg,,true
AZ-NITI-RD-16,Arco NITI Redondo,Calibre 16,Paquete con 10,0,MXN,https://cdn.tu-cdn/az-niti-16.jpg,,true
AZ-BRK-MALLA-100,Bracket AZDENT Malla 100,Colado,Set 20 piezas,0,MXN,https://cdn.tu-cdn/az-malla-100.jpg,,true
AZ-BRK-ROTH-CER,Bracket Cerámico ROTH AZDENT,ROTH 022,Set 20 piezas,0,MXN,https://cdn.tu-cdn/az-ceramico-roth.jpg,,true
MBT-CARTON,Brackets Cartón,MBT/ROTH,Set 20 piezas,0,MXN,https://cdn.tu-cdn/mbt-carton.jpg,,true
