Section,Title,Price,Description,Image
Consumibles y Profilaxis,CEPILLO PARA PROFILAXIS KIT CON 100,245,"Cepillos de profilaxis dental, kit con 100 piezas",https://drive.google.com/uc?export=view&id=1xY-qadVAgFlU694EaOxzSBUAWnN-ITmr
Consumibles y Profilaxis,MATRICES KIT CON 36,285,Kit de 36 matrices dentales para restauraciones.,https://drive.google.com/uc?export=view&id=1HFSQ2oxaUAEaKgrfBKDy_yIFtg32Rq0Q
Consumibles y Profilaxis,PIN DE FIBRA KIT CON 20,320,Kit de 20 pines de fibra para refuerzo dental.,https://drive.google.com/uc?export=view&id=17wGu3ewPculPWXB7s2nkM6h1YpxQQXzW
Consumibles y Profilaxis,PULIDO DE RESINA KIT CON 12,265,Kit de 12 unidades para pulido de resina dental.,https://drive.google.com/uc?export=view&id=1-8pf6uS_kCN0CC0Q33LWPYe_2OyAnowQ
