Section,Title,Price,Description,Image
Equipos,LAMPARA DE FOTOCURADO 3 programas PLUMA,1000,Lámpara de fotocurado tipo pluma con 3 programas de luz.,https://drive.google.com/uc?export=view&id=1ENESUVO7q4nGTmw8W9OyCrequpmuGNLe
Equipos,PIEZA DE ALTA CON LUZ LED 30 dias garantia,909,"Turbina de alta velocidad con luz LED, garantía 30 días.",https://drive.google.com/uc?export=view&id=1-AcRQlNUMP-qHZRRmXiwypUfiHzFX_zz
Equipos,PIEZA DE BAJA CON CONTRÁNGULO 30 dias garantia,1290,"Pieza de baja velocidad con contrángulo, garantía 30 días.",https://drive.google.com/uc?export=view&id=1Vdyd_mkx_r62jaF1Hud80volI4KE4ICi
